
Image Name                     PID Session Name        Session#    Mem Usage
LockApp.exe                  61584 Console                    1    111,188 K
RuntimeBroker.exe            41372 Console                    1     44,464 K
msedge.exe                   51348 Console                    1    175,924 K
audiodg.exe                  40768 Services                   0     48,008 K
HPAudioAnalytics.exe         52556 Services                   0     15,116 K
FMToastNotification.exe      37972 Console                    1     12,028 K
FMAudioMonitor.exe           54448 Console                    1     13,036 K
WmiPrvSE.exe                 63452 Services                   0     20,584 K
node.exe                     37708 Console                    1     47,112 K
conhost.exe                  16452 Console                    1      7,756 K
node.exe                     39716 Console                    1     47,308 K
conhost.exe                  33912 Console                    1      7,604 K
WeChatAppEx.exe              12568 Console                    1     85,272 K
WeChatAppEx.exe              63056 Console                    1     37,844 K
OpenConsole.exe              31724 Console                    1     12,784 K
powershell.exe               60600 Console                    1     78,336 K
node.exe                     53376 Console                    1     55,828 K
conhost.exe                   8956 Console                    1      8,056 K
node.exe                     65228 Console                    1    131,840 K
conhost.exe                  55888 Console                    1      8,040 K
idea64.exe                   60068 Console                    1    101,000 K
cmd.exe                      17904 Console                    1      8,604 K
node.exe                     23688 Console                    1     52,520 K
cmd.exe                      47844 Console                    1      8,488 K
node.exe                     55936 Console                    1    100,032 K
esbuild.exe                  43132 Console                    1     20,648 K
msedge.exe                   61236 Console                    1    107,608 K
msedge.exe                   30624 Console                    1     40,524 K
node.exe                     57968 Console                    1     58,080 K
conhost.exe                  11528 Console                    1      8,056 K
idea64.exe                   14652 Console                    1    162,584 K
node.exe                      1916 Console                    1    169,556 K
conhost.exe                  61244 Console                    1      8,024 K
java.exe                     53784 Console                    1    419,964 K
conhost.exe                  24344 Console                    1      7,968 K
SearchProtocolHost.exe       34976 Services                   0     20,720 K
java.exe                     34716 Console                    1    128,124 K
conhost.exe                  64168 Console                    1      7,880 K
svchost.exe                  60828 Services                   0     14,728 K
SearchFilterHost.exe         55884 Services                   0     13,732 K
git-bash.exe                 37044 Console                    1      6,528 K
mintty.exe                   41164 Console                    1     23,104 K
conhost.exe                  61036 Console                    1     10,400 K
bash.exe                     33952 Console                    1     12,556 K
bash.exe                     46056 Console                    1     10,032 K
tasklist.exe                 50472 Console                    1     12,036 K
cmd.exe                       6580 Console                    1      8,244 K
conhost.exe                  59068 Console                    1      7,904 K
cmd.exe                      16876 Console                    1      7,432 K
runnerw.exe                  25568 Console                    1      2,092 K
runnerw.exe                  31712 Console                    1      2,136 K
node.exe                     64296 Console                    1     33,752 K
